text	label
FDA Chief Counsel Daniel Troy Resigns (AP) AP - Daniel E. Troy, chief counsel for the Food and Drug Administration, resigned Tuesday with plans to return to the private sector.	0
Creditors Agree to Defer Iraq Debt Payments - IMF  WASHINGTON (Reuters) - The International Monetary Fund said  on Wednesday Iraq's official bilateral creditors had agreed to  defer debt the country owes them until the end of 2005.	0
Alabama Congressional Candidate Injured (AP) AP - A congressional candidate's antebellum home burned down early Friday, and he broke his knee jumping from the second floor.	0
Shiite parties announce candidates for election A Sunni group that had called for a delay in voting quietly files its slate for balloting.  Seven Iraqis were killed Thursday in clashes in Baghdad and the volatile city of Ramadi.	0
Pakistan hunts for key Al Qaeda figure ISLAMABAD, Pakistan -- Pakistani security forces are hunting a Libyan Al Qaeda leader whom senior intelligence officials see as a possible key to finding Osama bin Laden and others in the terrorist ...	0
U.S., Iraqi Forces Open New Offensive Iraqi insurgents attacked a U.S. convoy with a car bomb in the northern city of Mosul and killed an American soldier with a roadside bomb near Baghdad, Iraqi and U.S. authorities reported today.	0
Vibrator shuts down Mackay airport SN30952 writes  quot;An adult sex toy shut down a key regional airport for almost an hour today when it was mistaken for a bomb, Queensland police said.	0
Thai PM to Address Nation as More Bombs Hit South (Reuters) Reuters - Bomb blasts rocked southern\Thailand on Friday hours before Thai Prime Minister Thaksin\Shinawatra was to address the nation as he faces his worst\crisis following the deaths of 85 Muslim protesters. A second\bomb exploded at a busy food stall in Yala province on Friday,\wounding nine bomb squad members who had arrived to investigate\an earlier blast that wounded three people, including one\policeman, hospital officials said.	0
Ivan's Remnants Flood Parts of East HARRISBURG, Pa. - Rivers swelled with water dumped by Hurricane Ivan's remains from Ohio to Maryland, forcing thousands to evacuate, submerging a stadium and leading one town to haul out snowplows to shovel the muck...	0
7 students killed in Greek crash A bus taking Greek high school students to watch the Paralympics smashed into a truck loaded with glass Monday, killing seven teenage passengers and injuring 30 other people, police said.	0
APEC forum: is there any point to it? WASHINGTONFifteen years after its birth, the Asia-Pacific Economic Cooperation forum is increasingly dogged by an uncomfortable question: Is it any use?	0
Brunei Convenes Legislature After 20 Years (AP) AP - Brunei's absolute ruler convened the tiny oil-rich sultanate's legislature for the first time in two decades Saturday to mull constitutional amendments that are expected to further strengthen his rule.	0
Afghan warlords  #39;threaten poll #39; The power of Afghan armed factions means elections there will go ahead in an environment of fear and repression, US-based Human Rights Watch says.	0
Mexico rats survive cat onslaught Health officials in the Mexican state of Chihuahua fail to deal with a rat plague by sending in hundreds of cats.	0
Asylum seekers in Japan embassy Two men, four women and a child scaled a wall and barbed wire to get into the Japanese school at dawn on Friday. Asylum-seekers have been invading foreign missions in China since 2002.	0
Gush Katif heads cancel scheduled meeting with PM An additional display of the rift formed between Prime Minister Ariel Sharon and the settlers came late Monday night after residents of Gush Katif canceled a meeting scheduled for today with Sharon, explaining that the meeting would be pointless since 	0
Biffle, Martin give Roush 1-2 punch at Michigan BROOKLYN, Mich. (SportsTicker) - Greg Biffle took over the lead with 17 laps left and held off teammate Mark Martin to win the NASCAR Nextel Cup Series GFS Marketplace 400 at Michigan International Speedway on Sunday.	1
Myskina wins Kremlin Cup again Anastasia Myskina won the Kremlin Cup for the second straight year, running off 10 straight games to defeat Elena Dementieva 7-5, 6-0 Sunday in the tournament #39;s first all-Russian final.	1
Bashed by the Bus Comparing the Jets #39; 17-6 loss to the Pittsburgh Steelers on Sunday to their loss to the New England Patriots seven weeks ago is like comparing a torn ligament to a broken bone.	1
