text	label
Sudan willing to allow in more Darfur observers, official says KHARTOUM -- Sudan does not object to the deployment of more foreign cease-fire monitors and troops to the troubled Darfur region, Foreign Minister Mustafa Osman Ismail said yesterday.	0
U.S. Deaths in Iraq Top 1,000; Italian Women Held  BAGHDAD (Reuters) - The Pentagon death toll in Iraq reached  at least 1,002 Wednesday nearly 18 months after the U.S.-led  invasion, as the brazen abduction of two Italian women aid  workers in central Baghdad sparked a new hostage crisis.	0
Same-sex couples across Canada rejoice at Supreme Court ruling (Canadian Press) Canadian Press - TORONTO (CP) - Rev. Barbara McDowall and her wife, Gail Donnelly, say all they ever wanted was the right to walk down the aisle just like any other couple in love.	0
Surprise Victory in Philippines Puts Crack in Dynasty Tradition   ILAGAN, Philippines -- The governor of Isabela province, Grace Padaca, looked out at the misty rice fields from the tiled terrace of her official residence and said she never expected to call the mansion her home.	0
Glastonbury tribute to John Peel The new bands tent at Glastonbury Festival will be named the John Peel Stage to honour the Radio 1 DJ.	0
Three die in Jenin missile strike At least three Palestinian militants have been killed in an Israeli missile strike in Jenin in the West Bank. The attack came as the men drove by car through the city, a stronghold of Palestinian militant groups.	0
Afghans vote in presidential poll Around 100-thousand armed security personnel, including 27-thousand foreign troops from a US-led coalition and NATO, have been deployed to protect more than 10 million registered voters.	0
Burmese 'forgotten,' aid workers say BANGKOK, Thailand -- Thai survivors of Asia's tsunami disaster have complained they are second-class victims, with foreign tourists getting the best care. Now aid officials say a third class of victims in Thailand has emerged: migrant workers from Burma.	0
Earthquake hit Indonesia, killing 11 and injuring 65 A heavy quake rocked Indonesia #39;s Papua province killing at least 11 people and wounding 75. The quake destroyed 150 buildings, including churches, mosques and schools.	0
Iran 'to unveil new nuclear deal' Iran says it is ready to offer new proposals to meet international concern about its nuclear programme.	0
